show_id,performers,performance_type
580,Alexandra Conley,Magic Show
581,Sandra Villarreal,Opera
582,Lauren Harrison,Drama
583,Christopher Guerrero,Magic Show
584,Laurie Carter,Drama
585,Natalie Miller,Drama
586,Nicholas Thompson,Play
587,Luke Robertson,Play
588,Joseph Wagner,Magic Show
589,Catherine Duffy,Opera
590,Patricia Sanchez,Magic Show
591,Travis Myers,Play
592,Matthew Mcfarland,Drama
593,Cheryl Kelly,Dance
594,Michelle Frank MD,Play
595,Brenda Brown,Opera
596,Larry Martinez,Opera
597,Patricia Robinson,Opera
598,Laura Davis,Opera
599,Stanley Frey,Drama
600,Anthony Brown,Magic Show
601,Amy Johnson,Magic Show
602,Evan Rowland,Play
603,Brandon Contreras,Drama
604,Dorothy Daugherty,Play
605,Amanda Bennett,Opera
606,Tyler Crawford,Opera
607,Michael Doyle,Magic Show
608,Erica Steele,Magic Show
609,Ryan Rivera,Drama
610,Anita Moore,Play
611,Kristi Buck,Dance
612,Michael Chase,Drama
613,Daniel Holmes,Dance
614,Adam Oconnor,Drama
615,Jesse Brown PhD,Opera
616,Michael Freeman,Magic Show
617,Yvette Brown,Magic Show
618,Regina Jones,Magic Show
619,Jacob Miller,Dance
620,Monique Cardenas,Magic Show
621,Denise Brown,Dance
622,Jeffrey Barnes,Drama
623,Erin Brown,Magic Show
624,Phillip Garcia,Opera
625,Donna West,Magic Show
626,Shannon Jordan,Drama
627,Jorge Miller,Drama
628,Melissa Meyer,Opera
629,Mrs. Danielle Larson,Magic Show
630,Anthony Fuentes,Play
631,Carol Carter,Opera
632,Allen Banks,Opera
633,Michael Alexander,Play
634,Joanne Marshall,Magic Show
635,James Lopez,Opera
636,Jennifer Taylor,Dance
637,Anna Dickson,Opera
638,Curtis King,Drama
639,Linda Harris,Opera
640,Alexa Cobb,Dance
641,Jennifer Johnson,Drama
642,Jared Scott,Dance
643,Jill Jordan,Play
644,Donna Cox,Magic Show
645,Jeffrey Atkins,Drama
646,Beth Olson,Drama
647,Stephanie Patrick,Drama
648,Kimberly Suarez,Magic Show
649,Angie Shepherd,Drama
650,Dana Wolfe,Play
651,Paul Williams,Dance
652,Joshua Matthews,Opera
653,Rebecca Johnston,Play
654,Christine Green,Play
655,Melissa Campbell,Play
656,Lauren Henry,Magic Show
657,James Schneider,Play
658,Sara Hunter,Magic Show
659,Gary Jones,Magic Show
660,Stephen Rocha,Play
661,Kayla James,Drama
662,Chelsea Simon,Opera
663,Corey Bruce,Opera
664,Dr. Anthony Nelson MD,Dance
665,Christopher Smith,Drama
666,Hannah Macias,Magic Show
667,Debbie Ryan,Magic Show
668,Kelly Martinez,Drama
669,Michael Mcdowell,Dance
670,Brian Olsen,Dance
671,Taylor Wright,Drama
672,Paul Sweeney,Magic Show
673,Albert Clark,Drama
674,Amber Thompson,Drama
675,Sharon Owens,Dance
676,Adam Richardson Jr.,Drama
677,Rebekah Allen,Drama
678,Jennifer Burnett,Magic Show
679,Kristen Willis,Play
680,Devin Reyes,Play
681,Sara Abbott,Drama
682,Joseph Fowler,Magic Show
683,Tony Mayer,Opera
684,Joseph Jimenez MD,Magic Show
685,Andrea Henry,Opera
686,Jeffrey Sosa,Drama
687,Brittany Huerta,Magic Show
688,Elijah Johnson,Magic Show
689,Mary Johnson,Magic Show
690,Kathryn Patrick,Magic Show
691,Jill Vargas,Play
692,Latoya Silva,Play
693,Mary Blackwell,Opera
694,Emily Nelson,Dance
695,Christina Sutton,Opera
696,Joseph Stephens,Drama
697,Jennifer Woodward,Play
698,Danny Lopez,Drama
699,Stephanie Vaughn,Dance
700,Alice Mccarthy,Dance
701,William Davis,Drama
702,Joseph Williamson,Dance
703,Kevin Duran,Drama
704,Amanda Taylor,Play
705,Terry Moran,Dance
706,Maurice Martin,Drama
707,Dustin Soto II,Magic Show
708,Shane Collins,Magic Show
709,Katie Hernandez,Dance
710,Stephen Cooley,Opera
711,Allison Hale,Dance
712,Hannah Beck,Dance
713,Timothy Gibson,Magic Show
714,Christopher Wilkerson,Opera
715,Rachel Macias,Opera
716,Robert Walls,Play
717,Dana Graham,Magic Show
718,Brooke Torres,Play
719,Kevin Bennett,Drama
720,Rachel Jones,Dance
721,Ronald Fuentes,Magic Show
722,Jody Harrison,Dance
723,Daniel Lin,Drama
724,Christopher Garcia,Opera
725,Lisa Carroll,Dance
726,Robert Wilkins,Dance
727,Jamie Hayes,Play
728,Daniel Smith,Drama
729,Donald Hardy,Magic Show
730,Annette Aguirre,Dance
731,Melissa Marquez,Magic Show
732,Carl Nelson,Dance
733,Thomas Lawrence,Magic Show
734,Mr. John Roberts,Dance
735,Joshua Mason,Opera
736,Beth Orozco,Opera
737,Erin Parker,Drama
738,David Santos,Opera
739,Erin Baker,Play
740,Phillip Moore,Magic Show
741,Mackenzie Morris,Drama
742,Jeffrey Daniel,Opera
743,Douglas Craig,Opera
744,Ricky Palmer,Play
745,Angelica Mitchell,Dance
746,Julie Pacheco,Opera
747,Sarah Sanchez,Opera
748,Diana Green,Play
749,Mary Aguilar,Magic Show
750,Christine Mays,Magic Show
751,Joseph Lozano,Magic Show
752,Ariel Flowers,Dance
753,Leah Holt,Dance
754,Justin Short,Play
755,Brad Miller,Drama
756,Jessica Maldonado,Dance
757,Glenn Oliver,Dance
758,Amy Martin,Dance
759,Karen Lewis,Dance
760,Christopher Alexander,Play
761,Charles Schwartz,Play
762,Carol Curtis,Play
763,Donna Pittman,Magic Show
764,Leonard Martin,Play
765,Christopher French,Drama
766,Erin Perry,Dance
767,Dr. Amy Daniels,Drama
768,Alyssa Summers,Drama
769,John Lucas,Dance
770,Sarah Miller,Opera
771,Michelle Mitchell,Drama
772,Casey Reid,Dance
773,Chelsea Green,Play
774,Mrs. Debra Huff MD,Opera
775,Ricardo Anderson,Play
776,Kathleen Butler,Magic Show
777,Daniel Alexander,Drama
778,Vanessa Brown,Dance
779,Kayla Rivera,Magic Show
780,Carlos Reynolds,Dance
781,Jeffery Horne,Magic Show
782,Sheila Velez,Magic Show
783,Carrie Jefferson,Play
784,Robert Alexander,Dance
785,Vanessa Snyder,Dance
786,William King,Play
787,Anthony Cook,Opera
788,Melinda Thompson,Dance
789,Raymond Mckee,Play
790,Tara Kent,Opera
791,Terri Griffith,Dance
792,Joshua Lowe,Dance
793,Mr. Gregory Robinson,Drama
794,Peter Carter,Play
795,Julie Garcia,Opera
796,Michael Williams,Play
797,Suzanne Cobb,Drama
798,Matthew Meza,Opera
799,Kevin Peck,Drama
800,Richard Jenkins,Magic Show
801,Miguel Castro,Drama
802,Michael Gibson,Dance
803,Christopher Wheeler,Drama
804,Angela Schmitt,Magic Show
805,Bryan Neal,Dance
806,Sierra Cameron,Dance
807,Stephanie Herrera,Drama
808,Gloria Miller,Dance
809,Daniel Richardson,Magic Show
810,Angelica Sanchez,Play
811,Jennifer Rodgers,Drama
812,Julie Ellis,Dance
813,Sophia Watts,Drama
814,Norman Palmer,Dance
815,Paul Wood,Play
816,Steven Nunez,Magic Show
817,Ryan Wade,Drama
818,Jacob Ray,Play
819,Bonnie Glass,Opera
820,Natasha Martinez,Magic Show
821,Albert Stone,Drama
822,Shannon Adams,Magic Show
823,Kyle Barry,Magic Show
824,Thomas Sanchez,Dance
825,Pamela Kim,Magic Show
826,Susan Hubbard PhD,Dance
827,Darren Adams,Opera
828,Spencer Johnson,Play
829,Mitchell Aguilar,Dance
830,Richard Cline,Play
831,Alison Martinez,Magic Show
832,Devin Crawford,Opera
833,Paul Jacobson,Opera
834,Shannon Taylor,Drama
835,Amy Lopez,Opera
836,Natalie Martin,Drama
837,Devin Arroyo,Play
838,Gabrielle Miller,Opera
839,Pamela Moore DDS,Opera
840,Mandy Gibson,Drama
841,Timothy Small,Drama
842,Zachary Oliver,Opera
843,Thomas Green,Magic Show
844,Timothy Thompson,Opera
845,Steven Rodriguez,Drama
846,Haley Rose,Play
847,Rhonda Hodges,Opera
848,Dr. Nathaniel Peterson III,Play
849,Amy Hernandez,Drama
850,Patricia Stuart,Opera
851,Mary Moreno,Drama
852,Brittany Martin,Drama
853,Daniel Miller,Opera
854,Roy Johnson,Drama
855,Rachael Ramirez,Dance
856,Taylor Bell,Dance
857,Paul Garrison Jr.,Drama
858,Adrian Parker,Play
859,Jennifer Reynolds,Dance
860,Michael Rodriguez,Magic Show
861,Alyssa Holmes,Play
862,Eric Kim,Opera
863,Leslie Crawford,Play
864,Briana Kirby,Drama
865,Brittany Smith,Dance
866,Debra Parker,Dance
867,Michelle Floyd,Magic Show
868,Nicholas Harris,Opera
869,Charles Andrews,Magic Show
870,Andrea Webster,Opera
871,John Stokes,Play
872,Ashley Arnold,Drama
873,Rachael Long,Play
874,Kristin Allen,Play
875,Ashley Young,Magic Show
876,Kelly Butler,Opera
877,Dalton Johnson,Play
878,Lynn Harris,Opera
879,Kyle Maxwell,Drama
880,Margaret Keller MD,Dance
881,Stephanie Mills,Magic Show
882,Robert Khan,Dance
883,Edward Williams,Dance
884,Mr. Scott Fernandez,Dance
885,Jared Dean,Dance
886,Amy Silva,Magic Show
887,Heather Sullivan,Dance
888,Carlos Boyd,Magic Show
889,Andrew Wilson,Drama
890,Sydney Yates,Drama
891,Bradley Johnson,Magic Show
892,Tyler Brown,Magic Show
893,Melissa Golden,Opera
894,Amy Gibson,Dance
895,Cathy Monroe,Opera
896,Kirsten White,Magic Show
897,Joseph Brooks,Drama
898,Mary Perez,Drama
899,Sandra Stone,Dance
900,Tiffany Wright,Magic Show
901,Isabella Young,Magic Show
902,Crystal Holt,Play
903,Jessica Evans,Dance
904,Stephanie Shannon,Drama
905,Alexis Hicks,Play
906,William Doyle,Magic Show
907,Tiffany Williams,Drama
908,Patrick Blackburn DVM,Play
909,Sandra Ward,Magic Show
910,Erin Thompson,Play
911,Gary Jarvis,Dance
912,Timothy Carter,Magic Show
913,Michael Payne,Drama
914,Gina Jackson,Play
915,Eric Martin,Drama
916,Tammy Smith,Magic Show
917,Ashley Harris,Dance
918,Ann Rogers,Drama
919,Mary Hart,Play
920,Allen Nelson,Play
921,Cody Perez,Magic Show
922,Darren Campbell,Opera
923,Terry Moore,Play
924,Joseph Hughes,Opera
925,Sandra Young,Drama
926,Sandra Taylor,Opera
927,Jennifer Valenzuela,Dance
928,Natalie Williams,Opera
929,Scott Schmidt,Dance
930,John Smith,Magic Show
931,Andrea Brewer,Dance
932,Jason Carter,Magic Show
933,Mary Brown,Play
934,Erica Mccoy,Drama
935,Daniel Compton,Magic Show
936,Christian Brooks,Dance
937,James Pittman,Drama
938,Christopher Martin,Play
939,Reginald Conley,Dance
940,Brent Washington,Magic Show
941,Bonnie Hernandez,Magic Show
942,Charles Reed,Magic Show
943,Kevin Abbott,Opera
944,Tonya Young,Dance
945,Christina Norton,Dance
946,Angela James,Magic Show
947,Jacqueline Schneider,Magic Show
948,Jose Robinson,Drama
949,Rebecca Gardner,Magic Show
950,Kathryn Mathis,Play
951,Kari Mendez,Opera
952,Andrew Sanchez,Play
953,James Simpson,Opera
954,Christy Eaton,Opera
955,Jeremy Wilkinson,Opera
956,Scott George,Opera
957,Jeremy Rivera,Drama
958,Brenda Koch,Drama
959,Michael Smith,Dance
960,Norma Hartman,Magic Show
961,Shannon Shepard,Opera
962,Raymond Lane,Magic Show
963,Andrew Hunter,Drama
964,Mr. Philip Smith Jr.,Play
965,Michael Rios,Opera
966,Susan Richards,Play
967,Natasha Phillips,Drama
968,Peter Shepherd,Opera
969,Jeffrey Abbott,Magic Show
970,Paul Downs,Play
971,Nathaniel Singh,Magic Show
972,Taylor Nelson DVM,Opera
973,Melissa Jenkins,Play
974,Teresa Case,Magic Show
975,Anthony Walker,Drama
976,Joshua Brown,Dance
977,Chad Washington,Dance
978,Vickie Flores,Dance
979,Zachary Nelson,Magic Show
980,Jesse Porter,Play
981,Angela Mccarthy,Play
982,Nancy Campbell,Opera
983,Frank Ward,Dance
984,Brian Simmons,Magic Show
985,Anthony Baker,Opera
986,Megan Decker,Magic Show
987,Alexandra Wall,Drama
988,Robert Humphrey,Magic Show
989,Thomas Walsh,Dance
990,Martin Wall,Drama
991,Karen Garner,Play
992,Tyler Carter,Opera
993,April Proctor,Magic Show
994,Jeffrey Wallace,Opera
995,Christopher Brown,Magic Show
996,Cheryl Porter,Dance
997,Tracy Anderson,Opera
998,Katherine Curtis,Drama
999,Andrew Robinson,Opera
1000,Rebekah Gray,Opera
