r_id,show_id,hall_id,r_date,r_time
77,122,441,2016-11-13,08:41:00
78,496,411,2016-08-10,07:39:00
79,120,144,2016-11-21,21:06:00
80,450,423,2016-09-17,16:54:00
81,268,24,2016-10-14,19:50:00
82,42,93,2016-12-14,10:30:00
83,470,99,2016-10-28,03:57:00
84,222,276,2016-10-24,19:19:00
85,97,346,2016-09-23,01:02:00
86,152,304,2016-10-05,08:44:00
87,449,72,2016-10-27,13:50:00
88,156,151,2016-11-13,03:30:00
89,472,28,2016-08-11,06:45:00
90,240,278,2016-12-22,22:37:00
91,213,183,2016-11-14,06:06:00
92,95,227,2016-09-12,13:22:00
93,393,219,2016-09-30,10:37:00
94,33,76,2016-10-12,23:14:00
95,296,143,2016-08-29,21:04:00
96,304,49,2016-08-13,14:12:00
97,121,391,2016-11-03,12:14:00
98,107,417,2016-08-06,21:41:00
99,334,105,2016-10-10,06:59:00
100,178,264,2016-09-27,14:29:00
101,35,111,2016-08-21,01:29:00
102,495,374,2016-08-21,02:58:00
103,389,105,2016-10-15,10:24:00
104,469,7,2016-12-14,10:33:00
105,34,134,2016-09-28,17:42:00
106,162,480,2016-10-23,11:49:00
107,295,224,2016-10-13,08:37:00
108,65,392,2016-08-15,02:49:00
109,125,145,2016-11-19,03:45:00
110,4,95,2016-11-22,21:02:00
111,481,24,2016-11-08,19:46:00
112,465,334,2016-10-19,19:01:00
113,166,497,2016-10-01,16:04:00
114,416,76,2016-11-09,21:35:00
115,160,471,2016-12-15,12:15:00
116,62,302,2016-08-06,12:50:00
117,87,374,2016-12-13,09:52:00
118,309,41,2016-12-16,03:38:00
119,160,342,2016-11-26,04:00:00
120,410,291,2016-10-11,05:54:00
121,228,473,2016-11-14,12:00:00
122,255,367,2016-11-17,20:45:00
123,407,222,2016-12-23,22:33:00
124,485,324,2016-12-21,21:14:00
125,85,153,2016-11-05,00:13:00
126,339,177,2016-12-15,23:02:00
127,359,48,2016-09-06,04:08:00
128,186,313,2016-08-22,07:57:00
129,100,488,2016-09-28,04:35:00
130,64,431,2016-12-18,23:11:00
131,221,298,2016-12-17,15:54:00
132,479,292,2016-12-10,04:41:00
133,76,330,2016-12-12,15:30:00
134,334,363,2016-12-26,12:58:00
135,494,419,2016-08-14,08:49:00
136,498,459,2016-11-30,17:26:00
137,62,227,2016-12-25,13:33:00
138,11,18,2016-08-11,14:14:00
139,174,413,2016-11-30,04:47:00
140,370,301,2016-09-29,22:11:00
141,213,89,2016-08-12,12:13:00
142,498,77,2016-08-30,20:31:00
143,83,358,2016-10-04,01:40:00
144,439,206,2016-08-13,08:19:00
145,343,356,2016-09-12,05:37:00
146,221,412,2016-08-27,06:12:00
147,470,239,2016-08-14,22:29:00
148,481,449,2016-12-09,19:56:00
149,452,368,2016-10-12,12:44:00
150,446,259,2016-08-27,06:23:00
151,142,204,2016-11-26,14:14:00
152,432,23,2016-12-26,00:02:00
153,388,135,2016-12-29,11:31:00
154,278,396,2016-12-16,16:09:00
155,168,12,2016-10-27,11:27:00
156,145,442,2016-08-21,07:31:00
157,53,412,2016-10-08,09:49:00
158,253,293,2016-11-30,09:23:00
159,40,158,2016-08-21,09:26:00
160,190,295,2016-10-10,22:29:00
161,264,206,2016-09-21,00:32:00
162,284,146,2016-10-06,09:14:00
163,432,333,2016-08-22,06:27:00
164,135,24,2016-08-07,01:20:00
165,201,254,2016-12-19,04:34:00
166,127,407,2016-08-09,10:32:00
167,39,15,2016-09-17,17:24:00
168,97,479,2016-10-17,01:54:00
169,163,387,2016-09-21,08:46:00
170,363,391,2016-08-10,11:33:00
171,230,339,2016-09-29,03:51:00
172,196,280,2016-11-26,14:02:00
173,401,422,2016-12-16,23:33:00
174,458,272,2016-12-13,03:43:00
175,444,128,2016-12-10,16:09:00
176,42,224,2016-10-21,23:23:00
177,409,29,2016-08-15,21:21:00
178,42,27,2016-08-11,23:59:00
179,434,217,2016-12-22,10:26:00
180,91,111,2016-09-24,21:07:00
181,436,128,2016-10-04,21:58:00
182,318,152,2016-09-03,00:21:00
183,455,253,2016-11-01,01:33:00
184,155,297,2016-09-24,09:06:00
185,84,348,2016-12-17,09:05:00
186,206,464,2016-10-23,18:13:00
187,248,333,2016-09-01,22:25:00
188,58,122,2016-08-20,12:04:00
189,359,3,2016-12-12,11:15:00
190,497,81,2016-08-24,00:29:00
191,178,146,2016-12-15,04:25:00
192,235,214,2016-12-27,23:32:00
193,181,53,2016-12-19,05:08:00
194,447,321,2016-08-17,04:47:00
195,358,231,2016-11-25,13:30:00
196,96,118,2016-11-29,13:43:00
197,402,483,2016-12-01,09:03:00
198,282,48,2016-10-01,15:36:00
199,403,49,2016-08-27,09:50:00
200,442,423,2016-10-23,00:18:00
201,197,17,2016-12-08,07:36:00
202,148,274,2016-11-01,05:48:00
203,199,390,2016-09-18,03:10:00
204,271,409,2016-08-16,11:26:00
205,188,111,2016-09-01,21:31:00
206,259,242,2016-11-15,02:35:00
207,487,377,2016-10-12,03:34:00
208,51,237,2016-08-14,08:59:00
209,273,414,2016-09-14,17:34:00
210,237,27,2016-10-03,10:23:00
211,407,308,2016-11-15,23:30:00
212,277,405,2016-08-24,00:36:00
213,103,133,2016-12-25,19:19:00
214,110,300,2016-09-20,08:57:00
215,164,35,2016-11-22,23:56:00
216,85,113,2016-10-07,05:40:00
217,276,92,2016-12-02,14:48:00
218,106,86,2016-11-10,14:06:00
219,420,148,2016-10-19,11:11:00
220,53,31,2016-08-03,18:00:00
221,482,146,2016-12-04,16:15:00
222,430,399,2016-11-08,16:02:00
223,1,410,2016-10-07,11:54:00
224,304,189,2016-09-17,07:34:00
225,316,387,2016-11-24,08:02:00
226,114,352,2016-10-20,04:30:00
227,166,322,2016-10-01,00:43:00
228,8,157,2016-11-01,00:35:00
229,244,32,2016-10-10,06:54:00
230,119,212,2016-08-10,08:43:00
231,290,68,2016-11-19,01:47:00
232,408,309,2016-09-06,02:57:00
233,250,94,2016-08-08,05:09:00
234,63,44,2016-09-03,13:46:00
235,424,143,2016-08-03,07:10:00
236,431,385,2016-12-11,11:29:00
237,388,101,2016-11-22,05:01:00
238,318,366,2016-10-06,15:01:00
239,344,135,2016-11-02,07:11:00
240,249,368,2016-08-02,23:08:00
241,342,379,2016-09-12,21:00:00
242,469,157,2016-08-17,16:08:00
243,344,331,2016-09-28,17:41:00
244,99,46,2016-12-29,10:28:00
245,78,66,2016-12-16,07:50:00
246,55,67,2016-10-06,10:18:00
247,323,303,2016-11-02,15:20:00
248,83,423,2016-10-23,11:01:00
249,61,57,2016-12-30,06:17:00
250,68,211,2016-11-08,09:25:00
251,292,90,2016-09-26,17:29:00
252,388,311,2016-11-12,02:29:00
253,150,124,2016-11-01,16:56:00
254,498,152,2016-08-23,19:26:00
255,6,455,2016-10-31,19:10:00
256,389,31,2016-10-23,06:44:00
257,12,288,2016-12-29,04:11:00
258,176,320,2016-08-28,14:52:00
259,374,397,2016-12-24,02:33:00
260,270,356,2016-10-30,14:57:00
261,261,405,2016-08-27,02:50:00
262,290,327,2016-12-16,07:25:00
263,45,264,2016-12-15,14:17:00
264,214,113,2016-11-29,19:43:00
265,264,260,2016-12-20,21:41:00
266,292,60,2016-10-20,11:24:00
267,383,344,2016-11-17,10:59:00
268,340,11,2016-08-14,07:11:00
269,490,434,2016-10-12,08:27:00
270,118,417,2016-12-23,19:58:00
271,197,387,2016-11-01,08:18:00
272,91,317,2016-08-16,17:35:00
273,100,63,2016-08-09,01:44:00
274,178,241,2016-11-05,04:33:00
275,23,167,2016-09-18,13:20:00
276,387,478,2016-11-13,11:15:00
277,166,229,2016-10-24,09:18:00
278,144,353,2016-12-06,08:07:00
279,249,394,2016-12-02,15:24:00
280,83,51,2016-08-25,15:34:00
281,213,126,2016-12-07,05:54:00
282,83,140,2016-10-17,08:20:00
283,193,117,2016-10-08,15:39:00
284,32,264,2016-12-29,07:54:00
285,309,277,2016-10-26,05:17:00
286,242,162,2016-08-24,22:47:00
287,136,330,2016-12-29,22:11:00
288,381,14,2016-09-08,04:04:00
289,451,374,2016-12-18,01:07:00
290,338,268,2016-09-23,19:39:00
291,220,135,2016-12-26,06:30:00
292,399,75,2016-08-29,01:39:00
293,198,29,2016-10-26,08:55:00
294,86,11,2016-11-27,14:01:00
295,374,39,2016-09-29,02:50:00
296,58,210,2016-08-14,08:28:00
297,4,173,2016-08-03,13:14:00
298,432,172,2016-09-03,04:21:00
299,412,50,2016-08-08,04:40:00
300,185,197,2016-10-18,12:23:00
301,128,324,2016-12-10,09:38:00
302,333,293,2016-10-11,03:16:00
303,93,445,2016-10-12,17:01:00
304,120,159,2016-10-24,02:22:00
305,475,487,2016-12-20,20:24:00
306,150,315,2016-11-05,13:23:00
307,269,269,2016-08-30,19:15:00
308,15,21,2016-12-20,08:08:00
309,323,285,2016-12-28,07:50:00
310,161,135,2016-11-29,05:57:00
311,136,346,2016-09-01,10:44:00
312,81,429,2016-09-11,16:47:00
313,234,237,2016-09-19,06:49:00
314,381,268,2016-12-25,00:00:00
315,222,154,2016-11-22,07:06:00
316,238,70,2016-08-20,02:37:00
317,123,280,2016-11-17,08:23:00
318,37,315,2016-10-10,03:10:00
319,358,105,2016-12-31,22:53:00
320,326,223,2016-12-05,19:44:00
321,163,27,2016-09-16,14:14:00
322,275,26,2016-11-24,20:39:00
323,447,285,2016-09-24,00:29:00
324,487,271,2016-12-30,01:49:00
325,231,297,2016-09-09,18:57:00
326,9,37,2016-10-21,07:03:00
327,98,357,2016-11-15,16:36:00
328,225,200,2016-12-22,01:55:00
329,127,405,2016-08-29,10:54:00
330,218,371,2016-11-13,04:31:00
331,392,257,2016-12-11,13:30:00
332,141,485,2016-12-06,03:55:00
333,325,468,2016-08-03,05:48:00
334,329,451,2016-12-02,18:28:00
335,361,471,2016-08-01,12:02:00
336,130,53,2016-08-09,10:11:00
337,363,119,2016-10-30,04:29:00
338,232,123,2016-08-25,10:05:00
339,279,435,2016-11-23,15:50:00
340,139,234,2016-10-16,23:13:00
341,490,349,2016-09-15,13:28:00
342,9,97,2016-09-07,17:03:00
343,359,390,2016-08-02,22:30:00
344,259,403,2016-09-16,23:45:00
345,352,435,2016-10-14,17:12:00
346,139,133,2016-11-16,18:43:00
347,14,318,2016-11-17,15:34:00
348,380,160,2016-09-04,17:07:00
349,183,397,2016-12-18,23:41:00
350,430,187,2016-09-24,15:46:00
351,18,61,2016-09-02,19:23:00
352,323,455,2016-10-17,14:08:00
353,290,223,2016-12-28,04:43:00
354,134,380,2016-09-08,04:04:00
355,272,131,2016-08-04,10:11:00
356,337,200,2016-11-29,17:16:00
357,211,51,2016-10-31,18:20:00
358,320,429,2016-09-19,06:10:00
359,286,146,2016-11-23,13:59:00
360,85,68,2016-12-16,02:18:00
361,480,370,2016-08-06,01:31:00
362,73,164,2016-10-22,01:50:00
363,12,271,2016-09-08,16:48:00
364,382,381,2016-08-17,20:32:00
365,383,385,2016-12-16,13:01:00
366,137,340,2016-11-11,00:10:00
367,402,60,2016-08-29,05:13:00
368,33,481,2016-11-19,08:07:00
369,310,274,2016-08-01,16:17:00
370,23,325,2016-09-01,06:23:00
371,301,336,2016-09-23,01:36:00
372,258,463,2016-08-24,00:09:00
373,495,115,2016-10-24,15:15:00
374,161,450,2016-11-24,11:23:00
375,343,388,2016-08-28,15:15:00
376,126,250,2016-12-14,14:49:00
377,33,76,2016-12-21,10:02:00
378,141,24,2016-08-26,09:56:00
379,200,475,2016-11-13,11:27:00
380,194,402,2016-08-27,16:06:00
381,160,6,2016-12-21,06:42:00
382,356,344,2016-09-07,08:01:00
383,480,126,2016-08-12,00:51:00
384,404,477,2016-10-26,20:47:00
385,368,265,2016-08-20,10:02:00
386,234,434,2016-11-22,03:22:00
387,358,375,2016-10-18,03:08:00
388,94,415,2016-11-27,03:34:00
389,460,88,2016-10-19,19:51:00
390,154,276,2016-08-31,06:16:00
391,115,15,2016-11-04,14:49:00
392,473,239,2016-09-20,15:30:00
393,242,496,2016-09-10,08:23:00
394,348,470,2016-12-11,20:25:00
395,181,164,2016-10-05,16:02:00
396,441,423,2016-10-03,13:11:00
397,295,376,2016-09-24,06:07:00
398,487,321,2016-08-22,08:45:00
399,189,135,2016-09-27,00:43:00
400,460,93,2016-10-06,11:29:00
401,298,135,2016-10-24,09:07:00
402,139,407,2016-10-29,18:01:00
403,203,122,2016-11-12,15:08:00
404,321,89,2016-10-31,07:41:00
405,363,247,2016-11-15,18:48:00
406,441,151,2016-12-12,14:30:00
407,242,112,2016-12-20,06:23:00
408,213,59,2016-12-29,00:58:00
409,329,449,2016-08-11,21:47:00
410,332,9,2016-10-25,04:17:00
411,89,58,2016-12-19,15:19:00
412,389,241,2016-11-12,20:59:00
413,418,140,2016-10-20,06:36:00
414,375,427,2016-10-06,18:10:00
415,36,216,2016-12-09,16:38:00
416,301,418,2016-12-03,15:30:00
417,475,282,2016-10-08,20:43:00
418,36,452,2016-12-11,02:03:00
419,128,360,2016-09-16,20:42:00
420,42,272,2016-08-17,18:44:00
421,205,462,2016-10-12,17:50:00
422,464,96,2016-11-05,18:09:00
423,433,374,2016-09-04,16:59:00
424,233,383,2016-10-22,09:42:00
425,58,467,2016-10-30,07:40:00
426,83,73,2016-08-24,19:00:00
427,209,25,2016-09-11,14:46:00
428,96,47,2016-11-26,02:20:00
429,296,366,2016-11-01,22:53:00
430,294,55,2016-12-09,04:55:00
431,467,445,2016-10-21,10:24:00
432,29,455,2016-08-28,11:58:00
433,420,285,2016-09-22,10:32:00
434,444,294,2016-12-21,09:47:00
435,167,295,2016-08-04,20:09:00
436,446,310,2016-11-13,00:45:00
437,324,315,2016-09-22,15:46:00
438,409,289,2016-10-22,08:34:00
439,154,313,2016-12-02,16:20:00
440,167,21,2016-08-06,18:29:00
441,480,199,2016-11-09,05:52:00
442,403,59,2016-10-13,03:19:00
443,88,352,2016-12-13,20:54:00
444,216,275,2016-09-29,13:07:00
445,174,52,2016-09-16,01:09:00
446,380,333,2016-09-06,02:33:00
447,289,375,2016-09-17,15:56:00
448,445,168,2016-10-09,11:00:00
449,121,452,2016-08-28,12:13:00
450,471,442,2016-08-18,08:14:00
451,374,427,2016-09-19,04:43:00
452,336,27,2016-08-18,19:06:00
453,458,117,2016-10-23,11:33:00
454,4,333,2016-12-04,07:16:00
455,430,313,2016-10-26,19:53:00
456,209,155,2016-08-17,05:36:00
457,122,450,2016-08-15,19:36:00
458,263,369,2016-08-23,00:54:00
459,7,469,2016-09-28,14:39:00
460,483,295,2016-09-09,03:57:00
461,366,175,2016-11-07,04:55:00
462,134,209,2016-10-18,22:47:00
463,471,59,2016-11-16,19:33:00
464,32,173,2016-09-20,19:22:00
465,112,142,2016-12-27,21:47:00
466,107,258,2016-10-22,09:29:00
467,152,111,2016-08-22,02:09:00
468,170,232,2016-12-20,11:31:00
469,171,32,2016-12-17,06:46:00
470,476,362,2016-12-13,07:52:00
471,480,156,2016-10-03,14:55:00
472,400,103,2016-09-14,12:35:00
473,172,335,2016-08-22,14:10:00
474,123,51,2016-08-22,18:11:00
475,142,127,2016-11-03,10:45:00
476,124,238,2016-11-15,03:32:00
477,143,217,2016-12-25,09:18:00
478,240,429,2016-09-13,05:53:00
479,492,475,2016-10-24,14:03:00
480,25,328,2016-10-01,02:10:00
481,19,207,2016-09-16,00:57:00
482,265,401,2016-12-12,06:21:00
483,374,19,2016-12-06,01:07:00
484,120,463,2016-09-29,01:16:00
485,398,452,2016-11-16,12:38:00
486,332,153,2016-11-15,21:30:00
487,177,401,2016-09-27,02:27:00
488,198,246,2016-10-27,13:37:00
489,315,218,2016-12-24,13:04:00
490,141,439,2016-09-14,04:45:00
491,345,22,2016-08-03,02:15:00
492,368,351,2016-09-14,08:00:00
493,293,29,2016-08-07,02:33:00
494,78,29,2016-11-07,15:11:00
495,189,221,2016-08-07,12:16:00
496,445,111,2016-09-17,21:55:00
497,436,400,2016-09-21,08:22:00
498,260,34,2016-08-01,08:49:00
499,23,429,2016-12-05,17:27:00
500,471,295,2016-08-20,08:48:00
501,418,196,2016-09-22,20:30:00
502,211,221,2016-11-18,01:18:00
503,27,135,2016-12-16,09:43:00
504,95,106,2016-09-03,13:02:00
505,421,139,2016-09-03,23:00:00
506,218,341,2016-08-14,13:08:00
507,112,357,2016-10-21,20:46:00
508,260,361,2016-12-30,08:31:00
509,350,451,2016-12-16,00:15:00
510,264,52,2016-10-09,21:24:00
511,458,426,2016-11-13,18:43:00
512,64,151,2016-11-29,20:07:00
513,161,500,2016-08-29,13:39:00
514,24,283,2016-11-05,08:43:00
515,181,365,2016-09-19,10:38:00
516,152,194,2016-08-18,05:33:00
517,259,347,2016-12-13,10:03:00
518,348,27,2016-12-30,11:20:00
519,486,88,2016-11-21,01:56:00
520,481,399,2016-11-17,20:07:00
521,341,400,2016-08-09,23:25:00
522,343,66,2016-08-10,23:05:00
523,500,366,2016-09-28,22:45:00
524,391,112,2016-08-14,12:26:00
525,284,7,2016-09-11,07:04:00
526,303,7,2016-12-15,01:34:00
527,468,217,2016-09-04,01:59:00
528,24,256,2016-10-04,17:35:00
529,22,250,2016-09-01,19:20:00
530,457,122,2016-10-20,01:02:00
531,226,234,2016-12-03,14:18:00
532,43,469,2016-11-19,21:55:00
533,172,467,2016-12-28,05:45:00
534,285,447,2016-10-24,20:56:00
535,369,417,2016-09-20,01:18:00
536,469,182,2016-10-16,17:47:00
537,379,3,2016-09-27,13:27:00
538,381,83,2016-12-06,19:25:00
539,91,237,2016-08-12,02:17:00
540,246,206,2016-11-21,11:59:00
541,412,454,2016-10-09,09:22:00
542,323,200,2016-12-06,21:57:00
543,99,473,2016-11-24,17:37:00
544,125,311,2016-08-27,07:39:00
545,44,353,2016-08-12,10:45:00
546,323,265,2016-12-21,20:58:00
547,407,5,2016-09-18,19:26:00
548,331,253,2016-08-27,18:39:00
549,257,81,2016-12-03,19:40:00
550,451,103,2016-12-01,22:55:00
551,431,156,2016-12-26,03:54:00
552,160,285,2016-09-04,19:04:00
553,8,445,2016-09-19,23:40:00
554,405,100,2016-08-03,12:17:00
555,419,175,2016-12-03,04:41:00
556,325,97,2016-11-11,18:25:00
557,326,299,2016-12-15,23:46:00
558,396,360,2016-10-31,07:04:00
559,158,487,2016-12-06,11:55:00
560,416,181,2016-10-14,11:39:00
561,279,227,2016-12-20,11:08:00
562,268,253,2016-11-05,03:46:00
563,480,498,2016-08-21,10:45:00
564,336,33,2016-09-18,06:33:00
565,60,432,2016-10-31,21:50:00
566,101,405,2016-10-01,21:17:00
567,313,10,2016-12-21,20:51:00
568,443,301,2016-11-19,14:49:00
569,146,131,2016-11-15,06:03:00
570,350,259,2016-12-08,00:09:00
571,126,178,2016-12-30,01:51:00
572,45,182,2016-10-08,09:02:00
573,366,390,2016-11-22,10:20:00
574,148,264,2016-09-23,10:06:00
575,454,287,2016-11-23,15:13:00
576,232,16,2016-10-08,08:55:00
577,360,492,2016-10-31,14:25:00
578,142,284,2016-12-24,02:38:00
579,262,234,2016-09-21,07:52:00
580,410,75,2016-12-07,15:21:00
581,299,418,2016-12-01,02:18:00
582,492,74,2016-11-20,05:47:00
583,199,20,2016-09-20,00:31:00
584,153,26,2016-10-15,08:15:00
585,466,124,2016-11-04,13:25:00
586,408,274,2016-08-27,06:49:00
587,52,66,2016-11-13,17:18:00
588,23,150,2016-09-19,03:01:00
589,95,207,2016-12-20,11:07:00
590,114,231,2016-09-15,04:26:00
591,450,181,2016-09-25,07:20:00
592,491,332,2016-08-04,02:38:00
593,249,170,2016-08-26,16:18:00
594,470,455,2016-09-15,07:40:00
595,339,463,2016-08-17,23:41:00
596,273,458,2016-11-29,06:49:00
597,407,400,2016-12-23,15:06:00
598,411,383,2016-09-16,03:55:00
599,202,453,2016-08-23,20:57:00
600,242,324,2016-12-26,20:31:00
601,481,278,2016-09-02,19:15:00
602,188,39,2016-12-30,07:02:00
603,308,304,2016-10-16,05:15:00
604,273,406,2016-08-28,02:31:00
605,150,31,2016-10-22,15:28:00
606,38,390,2016-10-27,14:04:00
607,146,128,2016-10-11,14:43:00
608,367,13,2016-08-27,22:11:00
609,82,453,2016-11-03,07:20:00
610,498,209,2016-09-22,00:56:00
611,388,270,2016-11-28,13:08:00
612,243,56,2016-11-21,19:14:00
613,420,419,2016-10-22,23:20:00
614,83,448,2016-08-22,20:34:00
615,107,260,2016-10-23,14:02:00
616,93,52,2016-10-02,19:48:00
617,344,175,2016-09-27,16:52:00
618,28,204,2016-11-24,11:15:00
619,428,315,2016-11-23,04:19:00
620,71,410,2016-11-11,16:20:00
621,64,6,2016-11-05,07:15:00
622,472,5,2016-09-06,11:49:00
623,191,398,2016-10-02,06:46:00
624,196,349,2016-12-26,02:43:00
625,147,58,2016-11-28,06:47:00
626,318,325,2016-11-11,05:33:00
627,489,492,2016-09-23,13:23:00
628,473,172,2016-10-02,05:06:00
629,4,114,2016-12-04,14:37:00
630,300,388,2016-10-13,00:40:00
631,500,205,2016-09-11,18:15:00
632,455,149,2016-12-14,06:35:00
633,465,380,2016-10-30,11:18:00
634,151,30,2016-10-22,09:44:00
635,499,276,2016-08-02,12:24:00
636,190,295,2016-11-19,21:42:00
637,137,494,2016-11-01,17:26:00
638,169,337,2016-09-10,05:48:00
639,473,468,2016-08-20,06:30:00
640,122,378,2016-12-18,19:00:00
641,414,412,2016-10-25,04:51:00
642,317,485,2016-10-09,16:35:00
643,103,4,2016-09-23,19:55:00
644,495,316,2016-10-18,11:55:00
645,424,90,2016-09-10,13:57:00
646,181,2,2016-09-05,17:09:00
647,312,293,2016-12-02,18:22:00
648,319,216,2016-12-16,09:30:00
649,112,68,2016-10-09,23:12:00
650,162,368,2016-11-26,07:53:00
651,431,59,2016-10-24,17:47:00
652,237,402,2016-12-14,17:41:00
653,102,349,2016-09-15,08:25:00
654,384,180,2016-09-04,14:01:00
655,158,107,2016-09-05,14:53:00
656,385,24,2016-08-16,04:18:00
657,372,411,2016-11-12,20:30:00
658,210,59,2016-10-13,05:07:00
659,411,135,2016-12-19,21:32:00
660,202,332,2016-10-14,06:36:00
661,60,163,2016-09-30,22:42:00
662,92,89,2016-11-27,23:06:00
663,29,62,2016-12-25,21:11:00
664,7,439,2016-12-16,07:15:00
665,377,368,2016-08-28,08:35:00
666,468,18,2016-10-19,21:47:00
667,91,135,2016-09-09,11:30:00
668,244,428,2016-12-19,12:08:00
669,179,450,2016-12-16,09:40:00
670,426,500,2016-09-05,01:39:00
671,336,43,2016-10-11,00:48:00
672,7,70,2016-12-01,23:07:00
673,61,359,2016-11-20,17:27:00
674,430,68,2016-12-30,20:34:00
675,136,8,2016-11-07,09:42:00
676,361,207,2016-10-03,07:22:00
677,112,94,2016-08-22,21:51:00
678,98,462,2016-09-01,04:15:00
679,77,421,2016-11-28,08:42:00
680,219,96,2016-09-27,00:24:00
681,200,214,2016-10-20,14:14:00
682,120,206,2016-09-04,06:12:00
683,205,348,2016-11-01,18:49:00
684,235,346,2016-09-18,04:56:00
685,211,54,2016-11-27,02:38:00
686,149,234,2016-08-18,04:17:00
687,340,336,2016-08-21,09:47:00
688,275,398,2016-10-07,07:46:00
689,446,86,2016-11-18,02:04:00
690,252,125,2016-10-18,05:56:00
691,413,468,2016-11-01,07:55:00
692,280,19,2016-10-08,15:38:00
693,51,326,2016-08-26,17:57:00
694,4,259,2016-08-29,11:53:00
695,116,67,2016-09-07,09:35:00
696,112,454,2016-11-08,04:44:00
697,307,195,2016-10-04,01:17:00
698,441,241,2016-12-27,07:21:00
699,169,328,2016-08-01,12:12:00
700,81,427,2016-10-10,21:05:00
701,195,281,2016-12-15,07:28:00
702,342,45,2016-09-24,09:40:00
703,98,150,2016-09-07,07:21:00
704,59,404,2016-09-27,00:55:00
705,294,413,2016-08-10,04:44:00
706,325,64,2016-10-11,04:02:00
707,108,387,2016-08-06,15:08:00
708,25,37,2016-12-19,01:38:00
709,67,257,2016-12-14,04:29:00
710,437,162,2016-09-10,12:52:00
711,348,373,2016-08-18,02:04:00
712,214,303,2016-11-25,05:40:00
713,62,14,2016-12-25,13:29:00
714,58,132,2016-09-20,00:58:00
715,414,370,2016-10-11,02:57:00
716,329,205,2016-09-13,10:41:00
717,227,338,2016-12-25,11:09:00
718,287,72,2016-09-10,13:26:00
719,147,186,2016-11-03,23:11:00
720,138,202,2016-11-15,08:44:00
721,338,30,2016-08-14,00:50:00
722,372,315,2016-12-07,03:57:00
723,260,147,2016-11-04,21:46:00
724,316,255,2016-10-16,06:55:00
725,109,238,2016-08-08,07:31:00
726,424,176,2016-11-10,10:48:00
727,374,64,2016-11-25,08:44:00
728,59,334,2016-08-18,12:41:00
729,416,51,2016-11-23,04:09:00
730,247,27,2016-12-30,03:10:00
731,407,27,2016-11-15,11:59:00
732,469,25,2016-08-25,06:00:00
733,162,377,2016-12-15,17:06:00
734,120,452,2016-08-13,19:06:00
