show_id,movie_cast,release_date,director,rating
92,Timothy Gonzalez,1993,Cindy Henry,PG-16
93,Paula Holder,1998,Gavin Galloway,R
94,Megan Medina,2015,Rachel Sanders,R
95,Charles Keller,2017,Karla Williams,R
96,Rodney Brown,2010,Jennifer Brown,R
97,Abigail Cook,2013,Kayla Patrick,PG-16
98,Michael Robles,1996,Angel Harding,PG-16
99,Cheryl Evans,1993,Phillip Gray,PG-13
100,Keith Johnson,2007,Alicia Garcia,PG-13
101,Marie Garcia,2014,Yolanda Brown,PG-16
102,Aimee Rodgers,2004,Michelle Walls,R
103,Maria Fields,1997,William Morgan,R
104,Ryan Garcia,2017,Emily Lopez,U
105,Paul Anderson,1990,Amanda Diaz,PG-16
106,Nicole Phillips,1999,Courtney Simmons,U
107,Elijah Ramirez,2017,Melissa Larsen,PG-13
108,Jennifer Thompson,2003,Richard Patel,PG-16
109,Kathy Lane,2015,Anthony Lopez,R
110,Daniel Velasquez,2015,Matthew Willis,U
111,Christopher Ramirez,1991,Crystal Warner,U
112,Heather Miller,2013,Sandra Li,R
113,Vicki Simmons,2015,Cody Riley,PG-13
114,James Anderson,2011,Sarah Campbell,A
115,Kenneth Pace,2006,Andrew Huang,PG-16
116,Edward Love,2000,Nicholas Johnson,U
117,Michael Pollard,2001,Lisa Reyes,PG-13
118,Jorge Jordan,1995,Mrs. Emily Webb,PG-13
119,Megan Smith,2013,Jessica Anderson,PG-16
120,James Baker,2012,Shannon Martinez,R
121,Amanda Henson,2006,Jonathan Andrews,A
122,Joseph Martin,2003,Tiffany Austin,A
123,Jasmine Cortez,2012,Bradley Bond,R
124,Karen Holland,2004,Bobby Jensen,R
125,Alicia Nelson,2011,Paul Lewis,R
126,Courtney Ramsey,1990,Regina Smith,PG-13
127,Cynthia Stone,1999,Felicia Jones,U
128,Donald Delgado,2006,Todd Jensen,PG-13
129,Patrick Hoffman,2013,Melanie Cook,PG-16
130,Katie Alexander,1990,Hunter Norris,R
131,Jaclyn Walker,1998,Preston Thomas,A
132,Sarah Reynolds,2006,Jennifer Hughes,PG-13
133,Richard Bailey,2005,Edward Villarreal,R
134,April Perez,2000,Matthew Hudson,PG-16
135,Margaret Rhodes,2007,Jordan Rodriguez MD,R
136,Emily James,1994,Timothy Powell,U
137,Kathleen Buck,2014,Roy Bell,A
138,Briana Carr,2006,Dean Mitchell,PG-16
139,Jill Hurst,2015,Alec Melendez,A
140,Hannah Andrade,2017,Brittany Martin,A
141,Kara Mullen,2016,Jennifer Alvarado MD,U
142,Teresa Williams,1999,Cynthia Alvarez,A
143,Ryan Logan,1996,Nicole Turner,U
144,Caroline Vincent,2016,Anthony Peters,R
145,Adam Riley,2014,Jason Lewis,A
146,Jennifer Rice,2003,April Holt,U
147,Shannon Lee,2002,Lisa Pena,A
148,Tyler Santana,2017,Victoria Williams,A
149,Tyrone Baker,2012,Terry Horne,R
150,Tiffany Garcia,2014,Shawna Bautista,PG-16
151,Gerald Flores,2016,Alexander Fitzgerald,PG-13
152,Ronald Alvarez,1992,Nicole Wood,R
153,Katherine Bentley,1996,Jordan Ellis,A
154,Tracy Glover,2000,Sabrina Guzman,PG-16
155,Sara Hoffman,2007,Anthony Calhoun,A
156,Cindy Lopez,2001,Gerald Bell,A
157,Theresa Smith,2016,Juan Mcmahon,R
158,Tanner Small DDS,2013,Michael Leonard,U
159,Isaiah Waters,2003,Kathleen Miller,A
160,Courtney Berry,2003,John Hansen,U
161,Jennifer Young,1991,Regina Maddox,PG-16
162,Robyn Mcdonald,1999,Brandi Wilson,PG-13
163,Dana Turner,2013,Laura Matthews,R
164,Jordan Shaw,1998,Priscilla Marks,PG-16
165,Jennifer Duncan,2011,Ronnie Padilla,R
166,Christopher Moore,1994,Emily Long,R
167,Mrs. Amy Bradford,2011,Erik White,U
168,Ashley Edwards,2017,Rebecca Lewis,A
169,Joshua Thompson,2016,Michael Osborne,PG-16
170,Jerry Taylor,1990,Kathy Navarro,A
171,Brenda Sanchez,1995,Holly Warner,A
172,Julie Munoz,2011,Jill Mcdonald,PG-13
173,Larry Parks,2005,Travis Wilson,U
174,Devon Fields,2001,Jeffery Dennis,A
175,Katherine Vasquez,2017,Jessica Rosales,PG-13
176,Karina Hernandez,1996,Peter Bell,PG-16
177,Kyle Robbins,1999,Kristi Fisher,PG-13
178,Belinda Contreras,2016,Mitchell Rosario,PG-16
179,Thomas Zimmerman,2014,Derek Cooper,R
180,John Reynolds,1999,James Nichols,U
181,Lisa Robles,2001,Mrs. Tina Green,R
182,Teresa Galvan,1990,Gabriela Hart,PG-13
183,Hannah Peterson,2003,Robert Heath,U
184,Emily Henry,2011,Jeanne Oconnell,A
185,Alison Joyce,1999,Michelle Arroyo,A
186,Nicole White,1994,Sarah Day,R
187,Lauren Harvey,2010,Andrea Rojas,PG-16
188,Frederick Novak,2017,Stephen Bradley,PG-13
189,Michael Oconnor,2006,Amy Guzman,U
190,Susan Phillips,2014,Nicholas Lee,R
191,Brian Brooks,2016,Angel Collier,PG-16
192,Barbara Robinson,2005,Annette Lewis,U
193,Sophia Davis,2016,Todd Black,R
194,Christine Grant,2010,Jose Waters,A
195,Cassandra Kerr,2004,Julie Barker,A
196,Victor Smith,2015,Daniel Oneal,A
197,Sandra Pierce,2009,Ashley Rodriguez,PG-16
198,Erin Davis,1999,Derrick Rosales,R
199,Vincent Stanley,2013,Kristi Garcia,U
200,Donna Hall,2002,Candace Perez,A
201,Amber Greer,1994,Trevor Gomez,PG-13
202,Dennis Rose,1991,Frank Sanchez,PG-13
203,Christopher Johnson,2012,Sarah Shepherd,PG-13
204,William Oneal,2017,Vicki Fields,PG-16
205,Bryan White,2015,Casey Scott DDS,PG-13
206,Lori Hayes,2008,Misty Zimmerman,PG-13
207,Andrew Novak,2010,Mark Willis,PG-13
208,Carmen Scott,1994,Jonathan Frazier,PG-13
209,Toni Anderson,1999,Jessica Walls,PG-13
210,Michael Valencia,1998,Todd Floyd,R
211,Ashlee Dixon,2002,Travis Wu,A
212,Erika Davenport,2005,Robert Brown,R
213,Erika Lopez,2000,Susan Buchanan,PG-13
214,Adam Hale,1993,Jennifer Thompson,A
215,Jesse Cline,2002,David Meadows,U
216,Jose Myers,2005,Dana Henderson,R
217,Emily Boone,2012,Brenda Cordova DDS,PG-13
218,Kevin Chen,2004,Paige Bernard,PG-13
219,Noah Myers,2008,Jacob Brooks,R
220,James Sexton,2004,Sally Williams,U
221,Judy Adams,2010,Catherine Dean,PG-16
222,Steven Luna,1995,James Smith,A
223,Wayne Rosales,1997,Glen Cook,A
224,Victoria Jenkins,2007,James Anderson,PG-16
225,Brian Turner,2016,Michelle Ross,A
226,Cameron Duran,2001,Paul Caldwell,R
227,Jo Foster,2015,Albert Rosario,PG-16
228,Pamela Patterson,2006,Richard Hess,R
229,Deborah Lowe,1994,Renee Campbell,PG-13
230,Kathleen Sweeney,2015,Bethany Carson,PG-16
231,Andrew Gordon,1993,Marissa Roberts,PG-13
232,Cameron Moore,1992,Annette Gray,PG-16
233,Ashley Hodge,2000,Nicholas Mckinney,R
234,Erin Hill,2014,Natalie Sims,PG-16
235,Aaron Rivera,2006,Ann Lee,PG-13
236,Christopher West,1990,Lisa Powell,A
237,Roger Johnson,2006,Susan Russell,PG-16
238,Micheal Boyd,2000,Kathy Thomas,U
239,Jennifer Clark,2005,Dustin Simon,U
240,Vanessa Mccullough,1990,Brandon Ford,U
241,Jill Miles MD,1995,Erica Hammond,PG-16
242,Christine Cantu,2006,Jessica Jones,A
243,Jacqueline Davis,2014,Ronald Ross,PG-16
244,Zachary Lambert,2014,Matthew Smith,PG-16
245,Karen Hunt DDS,2007,Michael Murphy,R
246,Clinton Harrell,2012,Adriana Porter,R
247,Craig Russell,1990,Monique Anderson,A
248,Frank Moore,2004,Chris Hernandez,U
249,Ryan Smith,1990,Mary Miller,PG-16
250,Janet Johnston,1993,Nancy Ortiz DDS,PG-13
251,Elizabeth Long,1998,Robert Contreras,A
252,Jacob Ramos,1999,Holly Sanchez,A
253,Kenneth Page,2017,Dylan Weeks,R
254,Timothy Spencer,1991,Nicole Cox,R
255,Andrew Contreras,1998,Yvonne Williams,A
256,Whitney West,2010,Morgan Bailey,A
257,Pamela Francis,2011,Robin Cowan,A
258,Jason Grant,2013,Hayden Parker,R
259,Scott Taylor,2006,Matthew Clark,R
260,Sarah Spencer,2001,John Johnson,U
261,Samantha Travis,1990,Tina Bradshaw,PG-13
262,Leah Edwards,2002,Katrina Bauer,R
263,Rachel Pierce,2015,Mrs. Christina Walker,A
264,Elizabeth Alvarez,2015,Joshua Griffin,U
265,Jeffrey Phillips,2000,Donald May,A
266,Kari Palmer,1998,Bill Edwards,R
267,Eric White,2010,Nicholas Bell,PG-13
268,Leslie Ramirez,1998,Trevor Taylor,U
269,Carl Patel,1995,Dwayne Roberts,A
270,Mary Higgins,2007,Aaron Delacruz,PG-13
271,Julie Peterson,1991,Rachel Ballard,U
272,Frank Shah,2017,Carolyn Williams,PG-13
273,Aaron Johnston,1999,Debra Guerrero,R
274,Johnny Clayton,2015,Mr. Rick Harris,R
275,Kevin Chase,2008,Connie Williams,R
276,David Wright,2017,Julie Lowery,U
277,Anthony Murphy,1992,Jessica Young,U
278,Samuel Calhoun,2013,Andrea Dean,PG-16
279,Lisa Stein,1998,Kristine Rocha,PG-16
280,Katherine Jones,2010,Eric Potter,R
281,Monique Burgess,2002,Linda Ballard,A
282,Melissa Flores,1990,Alexander Spencer,A
283,Emily Young,1996,Valerie Nunez,R
284,Julie Lam,1995,Jeremy Lee,PG-16
285,Mr. Donald White,2012,Shawn Young,PG-16
286,Jean Flores,1996,Mark Munoz,PG-16
287,Steven Dixon,2012,Kyle Friedman,PG-13
288,Jeff Davis,2017,Kayla Bush,U
289,Alicia Alexander,1990,Dave Bean,A
290,Daniel Norris,1997,Jared Garcia,A
291,Natalie Guerrero,1997,Kerri Allen,R
292,Andrea Mcneil,1995,Deborah Taylor,A
293,Shawn Kane,2002,Jimmy Compton,PG-16
294,Ryan Phillips,1996,Kenneth Kim,PG-16
295,Curtis Singh,1991,Ann Robinson,R
296,Blake Underwood,2017,Patrick Phillips,U
297,Alexa Fowler MD,2015,Jordan Kline,R
298,Joshua Miller,2014,Ashley Hooper,R
299,Michelle Knox,2004,Steven Graham,U
300,Catherine Bailey,1999,Jamie Moreno,R
301,James Dunn,2009,Ashley Allen,R
302,Sarah Ward,2011,Jessica Hall,PG-16
303,Daniel Nelson,2015,Cassandra Johnson,PG-13
304,James Bryant,2014,Andrew Gutierrez,PG-16
305,Tiffany Walter,1997,Cristian Crosby,PG-16
306,Angel Baxter,2004,Renee Neal,R
307,Christine Reid,2006,Danielle Cook,PG-16
308,Gregory Lee,2008,Ashley Olson,U
309,Nicholas Stewart,1993,Dana Rios,PG-13
310,Christopher Perez,2016,Misty Carr,PG-13
311,Anthony Cook,2005,Lindsey Burton,R
312,Jordan Adams,1991,Christopher Brown,U
313,Amy Woods,2005,Mrs. Donna Nichols MD,PG-16
314,Christopher Bowen,2000,Dr. Tracy Barton,PG-16
315,Lindsey Velazquez,2004,Kim Lewis,R
316,Jay Galvan,2012,Jermaine Moore,R
317,Rebecca Valdez,2003,Deanna Thompson,U
318,Jake Montgomery,2000,Teresa Elliott,PG-13
319,Madison Williams,2008,Mrs. Theresa Davis,PG-16
320,Shannon Rogers,1994,Dr. Theresa Lloyd,U
321,Angela Aguilar,2014,Deborah Stafford,U
322,Michael Christensen,2009,Rebekah Luna,PG-13
323,Jonathan Lloyd,1993,Megan Taylor,R
324,Oscar Gibson,2015,Dustin Berry,U
325,Cynthia Glass,2017,Natasha Clark,U
326,Brett Gray,2012,Leslie Marshall,R
327,Dr. James Barrett,1991,Rachel Montgomery,R
328,Nicholas Cherry,1999,Ashley Jackson,U
329,Zachary Richardson,1996,Richard Ramos,PG-16
330,Brianna Green,2007,Karen Dixon,PG-13
331,Christopher Miller,2006,Jerry Sutton,A
332,Reginald Jones,2010,Michael Greer,U
333,Jennifer Matthews,2006,Jeffrey Bates,A
334,Benjamin Murray,2007,Joshua Turner,PG-16
335,Victoria Daniel,1990,Brittany May,A
336,Erin Martinez,2003,Cody Fowler,PG-13
337,Douglas Adams,2000,Shane Ruiz,PG-13
338,Stephen Brown,1997,Abigail Clark,PG-13
339,Gabriella Thompson,2006,Justin Reeves,PG-16
340,Jennifer Cameron MD,2016,Sheryl Perry,R
341,Caroline Baird,2004,Ernest Jones,R
342,Ryan Salinas DDS,2006,Teresa Porter,U
343,William Davis,1991,Ronald Miller,PG-13
344,Mandy Lara,1993,Heather Howard,PG-16
345,Dennis Adams,1992,Craig Lutz,PG-16
346,Brian Miller,1995,Rita Miller,A
347,Catherine Mitchell,2008,Shannon Crane,A
348,Lawrence Brooks,1991,Dawn Barron,A
349,Amy Johnson,1999,Nichole Thomas,PG-13
350,Thomas Young,2005,Kristopher Rivera,A
351,Mrs. Kaylee Gilbert,1996,Tiffany Brown,U
352,Kenneth Pineda,2013,Allen Delacruz,U
353,Kathleen Alexander,2002,Jaime Potter,PG-13
354,John Hill,2011,Sheena Davis,R
355,Angela Webster,2007,Michael Jones,R
356,Mrs. Rachel Brown,2005,Joshua Pitts,PG-13
357,Nathan Fitzgerald,1992,Terry Burns,A
358,Ashley Haynes,2005,William Phillips,U
359,Brooke Flores,2003,Kimberly Henson,A
360,Sandra Sullivan,1999,Whitney Moreno,A
361,Steven Hess,2010,Brenda Brown,U
362,Michael Moss,2003,Melissa Lang,R
363,Cody Holmes,1992,Kelsey Black,PG-16
364,John Vasquez,2000,James Dalton,U
365,Amanda Moreno,1990,Tonya Valdez,PG-13
366,Robert Jones,1996,Gabrielle Sanchez,PG-16
367,Kristen Tran,2004,Dwayne Deleon,PG-16
368,Debbie Logan,1993,Richard Mullen,A
369,Derek Nichols Jr.,1995,John Bird,PG-13
370,Brenda Gonzales MD,2016,Kathy Dorsey,PG-16
371,Mark Anderson,2006,Sierra Rivera,U
372,Christopher Bennett,2011,William Cross,R
373,Melissa Howard,1993,Jeremy Lee,PG-13
374,Chad Church,2003,Matthew Anderson,R
375,Isaac Jacobs,2017,Cory Holmes,A
376,Donald Mann,1993,Anna Leonard,U
377,Kevin Oconnor,2015,Tina Wilson,U
378,Morgan Reyes,1999,James Hurley,A
379,Amy Ross,1991,Christopher Conway,PG-16
380,Megan Sanchez,2015,Raymond Gordon,PG-16
381,Katie Hunt,1998,Tommy Perez,R
382,Ashley Walton,2014,Teresa Walters,PG-13
383,Mario Williams,2001,Timothy Griffin,U
384,Melissa Rogers,2009,Priscilla Pierce,U
385,John Powell,2017,Randall Jones,R
386,Michelle Weiss,2017,Karen Wallace,PG-13
387,Thomas Durham,2013,Stephen Adams,PG-13
388,Jasmine Wong,2012,Rodney Grant,PG-16
389,Rachel Thompson,2008,Jennifer Mcfarland,U
390,Eric Haynes,1996,Thomas Gates,U
391,Sherry French,2015,Lisa Watson,R
392,Karen Williams,2001,Stacey Wright,A
393,James Baker,1996,Jennifer Jones,R
394,Dennis Scott,2002,Nicholas Richardson,PG-16
395,Andrew Washington,2001,Andres Hoffman,U
396,Amber Jensen,2016,Amy Owens,PG-13
397,Tyler Rios,2013,Cynthia Gonzalez,PG-16
398,Melissa Anderson,1993,Ashley Benjamin,R
399,Lindsey Warren,2013,Anthony Peterson,U
400,Michael Kelly,2011,Crystal Ortiz,PG-16
401,Sheila Taylor,1996,Jason Collins,PG-13
402,Steven Clark,2012,Stephanie Jones,PG-16
403,Lynn Smith,2004,Brandon Anderson,U
404,Jose Jones,1990,Traci Mason,A
405,David Phelps,2013,Deborah Petty,A
406,Cynthia Kennedy,2015,Isabel Torres,R
407,John Torres,1996,Thomas Roberts,PG-16
408,Brent Valencia,2004,Ruth Parker,A
409,Jason Olsen,1992,Jennifer Brown,PG-16
410,Laura Davis,1993,Carol Mitchell,R
411,David Lopez,2015,Casey Thomas,A
412,Cynthia Castillo,2002,Laura West,U
413,Karen Hernandez,2013,Joseph Lynch,PG-16
414,Steven Cox,2001,Wendy Hernandez,R
415,John Hines,2006,Aaron Wilson,U
416,Kimberly Smith,2015,Crystal Silva,U
417,Robin Gilbert,1993,Toni Crawford,PG-16
418,Troy Williams,1996,Steven Bell,R
419,Amy Kirby,2008,Wesley Russell,PG-13
420,Ryan Nash,2017,Marc Moore,U
421,George Simpson,2000,Cathy Wilson,PG-13
422,Mr. Richard Watson,1990,Margaret Rivera,U
423,Candice Luna,2016,Kathleen Velez,PG-16
424,Jennifer Hoffman,2017,Michael Schmitt,PG-16
425,Monica Villa,1998,Denise Smith,U
426,Sandra Butler,1992,Tammy Carter,PG-13
427,Cole Taylor,2010,Robert Kelly,PG-13
428,Sarah Sweeney,2015,Gregory Elliott,PG-13
429,Teresa Hawkins,1999,Roberto Osborne,U
430,Denise Long,1994,Michelle Sosa,PG-16
431,Mallory Dixon,2017,Lisa Baxter,PG-13
432,Jonathan Guzman,2000,Sydney Barrett,PG-13
433,James Carter,2009,William Rosario,PG-16
434,Sean Aguilar,1999,Jennifer Green,U
435,Sandra Bennett,1993,Jeremiah George,R
436,Jeremiah Clark,1993,Mark Allen,PG-16
437,Christopher Clark,1991,Michael Mathews,U
438,Rachel Mcguire,2013,Jenna Russell,PG-13
439,William Davis,2000,Maria Cox,PG-16
440,Gregory Martinez,2004,Diana Young,R
441,Latoya Meyers,1991,Cynthia Friedman,R
442,Matthew Rivera,1997,Mark Norman,PG-13
443,Richard Riley,2012,Aaron Rodriguez,PG-16
444,Kyle Harris,2000,Philip Hogan,U
445,Lisa Mahoney,2014,Randall Miller,U
446,Kenneth Lewis,2009,Julie Parker,PG-16
447,Gene Jones,1999,Jennifer Warren,U
448,Susan Joseph,1990,James Hudson,U
449,Michael Vargas,2001,Robert Webster,A
450,Jeffrey Hill,2017,Kimberly Rivers,PG-16
451,Eric Ramsey,2014,Dr. Katherine Malone,PG-13
452,Brian Pacheco,2017,Vanessa Vang,PG-13
453,Dana Burnett,1992,Jason Ramirez,PG-16
454,Kevin Jimenez,2014,Austin Carter,PG-16
455,Dylan Fuentes,1997,Julia Carter,PG-13
456,Casey Meyer,2006,Austin Black DDS,PG-16
457,Denise Anderson,2010,Erin Sheppard,A
458,Karen Schneider,1996,Mario Hatfield,PG-16
459,Evan Larson,2017,Jill Rivera,PG-16
460,Rebecca Miller,2000,Carrie Perez,PG-16
461,Jeanne Baker,1999,Mathew Tucker,U
462,Suzanne Pratt,1999,Kenneth Thornton,R
463,Blake Novak,2013,Michelle Jackson,A
464,Ana Heath,1993,Juan Willis,U
465,Caitlyn Sanchez,2004,Stacey Peterson,U
466,James Young,1991,William Richards MD,A
467,Christine Barton,2004,Eric Miller,A
468,Miss Bianca Keller,1991,Lee Dunlap,U
469,Cindy Cruz,1995,Eric Dixon,A
470,Benjamin Ruiz,2015,Sarah Lowe,U
471,William Jones,2008,Sheena Aguilar,R
472,Jessica Guerra DVM,2008,Wendy Hamilton,U
473,John Garcia,1991,Eric Williams,A
474,Michelle Hamilton,2002,Kristy Clark,R
475,Cindy Shaw,2004,Todd Nelson,U
476,Melissa Trujillo,1998,Diana Ramirez,PG-16
477,Julian Stanley,2010,Ashley Gilbert,PG-13
478,Mr. Cameron Sullivan,2015,Amber Lewis,PG-16
479,Teresa Fowler,1992,Michael Cardenas,PG-13
480,Joel Ferguson,2011,Patrick Wilson,PG-13
481,Christopher Cervantes,2011,William Thompson,R
482,Brandy Robinson,2016,Wesley Robinson,U
483,Leslie Carr,2003,Donna Gray,PG-13
484,Meghan Weeks,2007,Brittany Austin,R
485,Michael Herrera,1999,Stephanie Hernandez,PG-13
486,Jerry Harmon,2005,Amanda Gutierrez,PG-13
487,Jason Bass,1998,Kelly Bryant,A
488,Jessica Hicks DVM,2001,Nancy Bean,U
489,Laura Burnett,1991,Christina Ford,PG-13
490,Jean Garcia,2009,Carly Maldonado,R
491,Melissa Jones,1999,Linda Lane,A
492,Derek Davis,2005,Kenneth Hernandez,U
493,Barry Proctor,2012,Rachel Brown,PG-16
494,Tiffany Shannon,2013,Cody Alexander,U
495,Tracey Saunders,2001,Virginia Cochran,R
496,Holly Smith,1990,Breanna Stewart,U
497,Martin Patterson,1998,Christina Myers,A
498,Gabriel Hogan,2010,Robert Chavez,R
499,Zachary Rojas,2000,Lisa Martinez,A
500,Cheryl Smith,1990,Ana Johns,PG-13
