hall_id,size,type,experience
302,4395,Dome,4D
303,8891,Flat,3D
304,9390,Dome,2D
305,9434,Dome,3D
306,7783,Dome,4D
307,4898,Dome,2D
308,4132,Flat,4D
309,6008,Curve,2D
310,5776,Dome,3D
311,9879,Dome,4D
312,4606,Curve,3D
313,7916,Curve,4D
314,9964,Curve,4D
315,4727,Flat,4D
316,7492,Dome,3D
317,8845,Dome,4D
318,7722,Flat,3D
319,5589,Flat,4D
320,8459,Dome,4D
321,7294,Flat,4D
322,9811,Dome,4D
323,8448,Curve,4D
324,7095,Curve,2D
325,9042,Dome,2D
326,6368,Curve,2D
327,7845,Curve,3D
328,9763,Flat,2D
329,4036,Dome,4D
330,4112,Dome,3D
331,4602,Curve,2D
332,5904,Flat,4D
333,5706,Dome,2D
334,7054,Flat,3D
335,6584,Curve,2D
336,4255,Flat,3D
337,6390,Dome,3D
338,7485,Flat,3D
339,6740,Dome,3D
340,8272,Dome,2D
341,8380,Curve,3D
342,8029,Flat,2D
343,4611,Flat,3D
344,5210,Curve,3D
345,5589,Dome,2D
346,7722,Curve,2D
347,6522,Flat,3D
348,6908,Curve,3D
349,6681,Curve,2D
350,9938,Flat,4D
351,9415,Curve,2D
352,6395,Curve,3D
353,5236,Flat,2D
354,9757,Curve,3D
355,6446,Flat,3D
356,4996,Dome,3D
357,9505,Flat,2D
358,9917,Flat,2D
359,5459,Dome,3D
360,7682,Curve,2D
361,9089,Curve,2D
362,7225,Curve,3D
363,8069,Curve,2D
364,8089,Flat,3D
365,5765,Flat,4D
366,9241,Dome,3D
367,5001,Dome,2D
368,6213,Curve,2D
369,6801,Dome,3D
370,7469,Curve,3D
371,5347,Dome,4D
372,4841,Dome,4D
373,5399,Flat,2D
374,4220,Dome,3D
375,5863,Dome,4D
376,9979,Flat,4D
377,4933,Dome,2D
378,9317,Dome,3D
379,7751,Dome,4D
380,4183,Dome,4D
381,6852,Dome,4D
382,6308,Flat,3D
383,5590,Curve,2D
384,4957,Flat,3D
385,9480,Dome,4D
386,6985,Dome,2D
387,8748,Dome,3D
388,6371,Dome,3D
389,7396,Flat,3D
390,9799,Curve,4D
391,6367,Flat,3D
392,4790,Dome,4D
393,4383,Flat,2D
394,6160,Curve,3D
395,4536,Dome,3D
396,4797,Curve,3D
397,6735,Curve,4D
398,5107,Dome,3D
399,5789,Flat,2D
400,9097,Dome,4D
401,4743,Flat,3D
402,7514,Dome,2D
403,4351,Flat,4D
404,9245,Dome,3D
405,5054,Curve,3D
406,9249,Flat,3D
407,5893,Dome,4D
408,9995,Dome,3D
409,8668,Curve,3D
410,8315,Dome,2D
411,8450,Dome,3D
412,5771,Curve,2D
413,6365,Curve,3D
414,9263,Curve,2D
415,4412,Flat,3D
416,8625,Curve,4D
417,7300,Curve,2D
418,7869,Curve,4D
419,5956,Curve,4D
420,9942,Dome,2D
421,7590,Dome,2D
422,4375,Dome,2D
423,7674,Dome,3D
424,8750,Curve,3D
425,4794,Flat,2D
426,9625,Flat,2D
427,8755,Curve,4D
428,9678,Dome,3D
429,9471,Curve,3D
430,4260,Dome,3D
431,7787,Dome,4D
432,5536,Flat,4D
433,9906,Flat,2D
434,9059,Curve,3D
435,8646,Flat,4D
436,5286,Dome,4D
437,7319,Curve,2D
438,8759,Flat,4D
439,8743,Curve,4D
440,8514,Flat,3D
441,5629,Curve,4D
442,6495,Flat,3D
443,7389,Flat,2D
444,6063,Curve,2D
445,4908,Curve,4D
446,4933,Flat,2D
447,8055,Dome,4D
448,7320,Flat,2D
449,6844,Dome,2D
450,8403,Curve,2D
451,8972,Curve,4D
452,9677,Dome,2D
453,6614,Flat,2D
454,4078,Curve,2D
455,9593,Dome,2D
456,7974,Curve,2D
457,4087,Curve,3D
458,6114,Dome,3D
459,5827,Curve,3D
460,8166,Curve,4D
461,7982,Curve,4D
462,9163,Flat,4D
463,6383,Flat,2D
464,6901,Flat,3D
465,4767,Curve,3D
466,5464,Dome,4D
467,5526,Curve,4D
468,8361,Curve,4D
469,9212,Flat,3D
470,7846,Curve,3D
471,5051,Flat,2D
472,7709,Dome,3D
473,8922,Curve,4D
474,8050,Curve,2D
475,7317,Curve,3D
476,4272,Flat,2D
477,7757,Curve,2D
478,6686,Dome,3D
479,9825,Flat,2D
480,6321,Dome,3D
481,4371,Dome,4D
482,5012,Curve,4D
483,4357,Curve,3D
484,9419,Flat,4D
485,6415,Curve,4D
486,9894,Curve,3D
487,7116,Curve,3D
488,5635,Dome,4D
489,6758,Dome,4D
490,6372,Curve,2D
491,8949,Flat,3D
492,5384,Dome,3D
493,9712,Dome,4D
494,6647,Curve,3D
495,4560,Dome,4D
496,5680,Flat,3D
497,7928,Curve,2D
498,6691,Dome,4D
499,9821,Curve,4D
500,7772,Flat,3D
